"Country","Year","Sex","Age group","Mean total cholesterol (mmol/L)","Mean total cholesterol lower 95% uncertainty interval (mmol/L)","Mean total cholesterol upper 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol (mmol/L)","Mean non-HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol upper 95% uncertainty interval (mmol/L)","Mean HDL cholesterol (mmol/L)","Mean HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean HDL cholesterol upper 95% uncertainty interval (mmol/L)"
"Canada",2003,"Men","70-74",5.09345211517701,4.86002430120993,5.33082617211469,3.84469339122751,3.68717575767587,4.00423101335844,1.23066896825301,1.15350556712791,1.31195119541153
"Canada",2003,"Men","75-79",4.96092828638324,4.71383372889089,5.21017713217287,3.71174877301184,3.53955571207027,3.88825903363284,1.23618034448742,1.15699275242394,1.31863345582357
"Canada",2003,"Men","80-84",4.84232311812653,4.56161930782215,5.12029133966236,3.5933716373899,3.37525598929624,3.80997467971739,1.24281032679623,1.15549941662213,1.32964188686471
"Canada",2003,"Men","85plus",4.73321316474362,4.35541393674403,5.11716529939915,3.48425412533567,3.1397660418535,3.83915282324858,1.25459653205288,1.14386287967456,1.36521530134613
"Canada",2004,"Men","18-19",4.0843666358502,3.90918404081722,4.25859455716775,2.80741712800207,2.65832372841039,2.95593182707119,1.22526109598326,1.15189011799084,1.30204001810147
"Canada",2004,"Men","20-24",4.39088942542395,4.22437414211932,4.55926944234051,3.12585637439961,2.99635109404904,3.25499976932177,1.22059764551783,1.15026853425707,1.29482362409255
"Canada",2004,"Men","25-29",4.75663926264393,4.58048911650428,4.93272732791528,3.50727674264801,3.38924016257629,3.62700278711007,1.21236111933892,1.14319532240123,1.28402858345883
"Canada",2004,"Men","30-34",5.04097204862203,4.85734969285229,5.22970279360128,3.8046121431588,3.68491046619562,3.92335602471288,1.20398221596247,1.13510217011319,1.27508520523054
"Canada",2004,"Men","35-39",5.24772486651576,5.05392987894797,5.44616501866298,4.02050390706134,3.89754196606994,4.14164850650734,1.19736084841793,1.12764562146434,1.26895229606817
"Canada",2004,"Men","40-44",5.38073479948264,5.17983097903945,5.58827466823378,4.157593365485,4.02935682027585,4.28326252937481,1.19439692973477,1.12355418944113,1.26779113106668
"Canada",2004,"Men","45-49",5.44398958754548,5.23613032290406,5.65576072047808,4.21876607327242,4.08820038911841,4.35132519855289,1.19688766153376,1.1250700136679,1.27104846982806
"Canada",2004,"Men","50-54",5.44494207862911,5.23009629846831,5.66155722491423,4.21252473067189,4.07826414462166,4.34836911391291,1.20426788303575,1.13100517886786,1.2800529975597
"Canada",2004,"Men","55-59",5.39451022856037,5.17559899583707,5.6169935965257,4.1529891833373,4.01451997764617,4.29362404595558,1.21361007106164,1.13918663820846,1.29157216881086
"Canada",2004,"Men","60-64",5.30381922836092,5.08255725279355,5.53080686714931,4.05450476691845,3.91271733118976,4.20165298549689,1.22196937729937,1.1468456022007,1.30050212269488
